STATE,COUNTY,MONTH,DAY,HOUR,MINUTE,DAY_WEEK,ST_CASE,CITY
1,87,6,26,15,53,2,10398,0
1,71,6,2,5,0,6,10399,0
1,123,6,26,7,15,2,10400,0
1,115,6,2,7,34,6,10401,2136
1,93,6,9,15,18,6,10402,1540
1,109,6,15,14,30,5,10403,0
1,3,6,2,23,42,6,10404,1493
1,3,6,4,5,30,1,10405,1493
1,43,6,16,17,56,6,10406,830
1,61,6,16,20,55,6,10407,0
1,31,6,22,14,50,5,10408,0
1,43,6,23,6,1,6,10409,830
1,67,6,24,5,0,7,10410,0
1,49,6,25,2,25,1,10411,0
1,29,6,30,19,25,6,10412,0
1,49,6,17,11,0,7,10413,1230
1,9,6,25,7,30,1,10414,0
1,127,6,26,19,20,2,10415,0
1,115,6,29,17,23,5,10416,0
1,117,6,30,20,20,6,10417,0
1,53,6,29,19,30,5,10418,0
1,107,6,25,17,45,1,10419,0
1,101,6,21,7,30,4,10420,2130
1,97,6,9,11,30,6,10421,2100
1,73,6,29,6,48,5,10422,350
1,125,6,12,16,50,2,10423,2260
1,117,6,14,12,30,4,10424,0
1,97,6,21,8,14,4,10425,670
1,83,6,18,22,33,1,10426,170
1,77,6,14,15,35,4,10427,0
1,3,6,25,3,55,1,10428,1210
1,3,6,2,4,35,6,10429,0
1,89,4,7,19,40,6,10430,1730
1,89,5,22,1,55,2,10431,1730
1,73,6,24,23,25,7,10432,350
1,129,7,3,18,42,2,10433,0
1,47,7,1,19,35,7,10434,0
1,87,7,1,0,15,7,10435,0
1,87,7,3,5,30,2,10436,0
1,95,7,6,13,38,5,10437,0
1,25,7,3,3,10,2,10438,0
1,51,7,4,16,15,3,10439,0
1,1,7,9,1,40,1,10440,0
1,101,7,8,2,0,7,10441,0
1,37,7,1,2,0,7,10442,0
1,37,7,8,16,30,7,10443,0
1,115,7,6,3,55,5,10444,0
1,41,7,9,8,15,1,10445,0
1,49,7,6,19,20,5,10446,0
1,15,7,11,22,10,3,10447,0
1,117,7,2,18,40,1,10448,0
1,123,7,2,15,0,1,10449,0
1,83,7,11,9,40,3,10450,0
1,77,7,12,15,40,4,10451,0
1,9,7,14,6,10,6,10452,0
1,73,7,15,16,23,7,10453,0
1,83,7,15,15,0,7,10454,0
1,103,7,16,1,0,1,10455,0
1,5,7,13,16,40,5,10456,0
1,87,7,16,12,37,1,10457,0
1,73,7,3,20,0,2,10458,350
1,51,7,19,15,20,4,10459,0
1,123,7,10,10,50,2,10460,0
1,19,7,4,20,57,3,10461,0
1,101,7,20,18,55,5,10462,0
1,49,7,3,15,37,2,10463,1632
1,7,7,12,13,30,4,10464,0
1,17,7,16,16,10,1,10465,0
1,71,7,16,5,45,1,10466,0
1,89,7,18,0,26,3,10467,0
1,53,7,19,13,10,4,10468,0
1,125,7,8,19,25,7,10469,0
1,55,7,15,16,48,7,10470,1280
1,103,7,20,12,45,5,10471,0
1,59,7,19,22,15,4,10472,0
1,89,7,19,18,55,4,10473,0
1,69,7,5,5,25,4,10474,930
1,73,7,19,22,45,4,10475,0
1,47,7,23,17,0,1,10476,0
1,63,7,6,21,45,5,10477,0
1,125,7,25,18,0,3,10478,0
1,11,7,26,18,30,4,10479,0
1,103,7,16,1,1,1,10480,0
1,97,7,21,14,55,6,10481,0
1,97,7,21,4,15,6,10482,0
1,33,7,29,19,0,7,10483,0
1,37,7,26,9,15,4,10484,0
1,97,7,1,12,5,7,10485,0
1,3,7,3,7,18,2,10486,0
1,91,7,28,14,5,6,10487,0
1,43,7,25,18,20,3,10488,0
1,51,7,29,15,55,7,10489,0
1,3,7,1,11,50,7,10490,2355
1,97,7,24,12,31,2,10491,865
1,127,7,17,3,0,2,10492,0
1,127,7,24,23,50,2,10493,0
1,103,7,24,21,15,2,10494,890
1,123,7,25,1,43,3,10495,60
1,35,7,27,20,0,5,10496,1080
1,127,7,29,19,30,7,10497,920
1,107,7,2,14,40,1,10498,0
1,45,7,22,8,57,7,10499,2380
1,129,7,26,21,20,4,10500,0
1,3,7,6,21,25,5,10501,1210
1,45,7,14,9,46,6,10502,2380
1,41,7,21,23,15,6,10503,0
1,129,7,22,18,45,7,10504,0
1,73,7,14,9,55,6,10505,1850
1,67,7,17,11,50,2,10506,1610
1,43,7,25,9,22,3,10507,830
1,121,7,26,13,45,4,10508,0
1,45,7,3,15,4,2,10509,2380
1,109,7,11,0,35,3,10510,3040
1,121,7,16,17,6,1,10511,0
1,15,7,23,7,10,1,10512,0
1,77,7,17,13,45,2,10513,0
1,13,7,31,0,1,2,10514,0
1,81,7,24,13,0,2,10515,0
1,73,7,26,5,38,4,10516,350
1,97,7,30,5,0,1,10517,0
1,109,7,28,19,10,6,10518,0
1,101,7,24,9,9,2,10519,2130
1,121,7,23,12,16,1,10520,1870
1,115,7,15,11,15,7,10521,0
1,3,7,27,1,50,5,10522,0
1,115,7,19,2,50,4,10523,2136
1,101,7,8,2,30,7,10524,2130
1,113,7,11,22,12,3,10525,0
1,55,8,4,3,7,6,10526,1280
1,125,8,2,22,35,4,10527,0
1,97,8,3,5,15,5,10528,0
1,87,8,3,19,15,5,10529,0
1,101,8,4,1,30,6,10530,0
1,97,8,5,2,20,7,10531,0
1,97,8,5,17,30,7,10532,0
1,87,8,5,23,45,7,10533,0
1,95,8,6,14,25,1,10534,0
1,125,8,6,23,20,1,10535,0
1,51,8,9,16,35,4,10536,0
1,89,8,3,16,20,5,10537,0
1,55,8,1,1,41,3,10538,190
1,49,8,2,8,5,4,10539,0
1,29,8,2,15,20,4,10540,0
1,115,8,2,10,14,4,10541,0
1,75,8,4,23,20,6,10542,0
1,15,8,5,7,35,7,10543,0
1,85,8,12,3,18,7,10544,0
1,65,8,4,21,15,6,10545,0
1,89,8,15,19,0,3,10546,0
1,25,8,8,21,15,3,10547,0
1,3,8,13,12,55,1,10548,0
1,119,8,12,10,55,7,10549,820
1,89,8,5,19,15,7,10550,0
1,89,8,12,22,20,7,10551,0
1,123,8,15,11,15,3,10552,0
1,75,8,6,21,0,1,10553,0
1,39,8,15,7,37,3,10554,0
1,3,8,19,5,45,7,10555,860
1,113,8,21,3,0,2,10556,0
1,21,8,22,6,15,3,10557,0
1,15,8,21,8,27,2,10558,0
1,101,8,5,2,25,7,10559,2130
1,121,8,18,20,5,6,10560,0
1,125,8,18,21,0,6,10561,0
1,49,8,20,22,15,1,10562,0
1,131,8,16,13,0,4,10563,0
1,115,8,23,16,50,4,10564,2620
1,33,8,25,14,10,6,10565,0
1,3,8,8,10,39,3,10566,2890
1,89,8,20,1,15,1,10567,0
1,97,8,24,22,0,5,10568,2713
1,95,8,27,11,30,1,10569,0
1,87,8,24,16,2,5,10570,0
1,27,8,15,16,15,3,10571,0
1,117,8,20,4,10,1,10572,0
1,9,8,27,10,25,1,10573,0
1,49,8,29,8,20,3,10574,0
1,3,8,14,0,55,2,10575,0
1,77,8,23,17,30,4,10576,0
