STATE,COUNTY,MONTH,DAY,HOUR,MINUTE,DAY_WEEK,ST_CASE,MILEPT,CITY
1,119,7,2,14,35,5,10465,267,1040
1,57,7,28,20,35,3,10466,2421,0
1,113,7,25,2,15,7,10467,154,0
1,53,7,24,7,40,6,10468,718,0
1,53,7,28,18,20,3,10469,662,0
1,53,7,17,17,55,6,10470,182,0
1,53,7,26,20,20,1,10471,614,0
1,3,7,20,14,45,2,10472,49,0
1,121,7,24,15,45,6,10473,393,2275
1,29,7,27,10,30,2,10474,1773,0
1,81,7,19,12,13,1,10475,0,2340
1,125,7,25,22,0,7,10476,1364,0
1,15,7,26,15,5,1,10477,0,0
1,103,7,27,18,30,2,10478,0,1590
1,121,7,31,2,30,6,10479,1653,1870
1,53,7,25,19,5,7,10480,736,0
1,73,7,31,23,40,6,10481,0,330
1,33,7,31,12,32,6,10482,99999,2190
1,9,7,6,7,10,2,10483,0,0
1,81,7,7,13,43,3,10484,99999,2340
1,47,7,24,14,20,6,10485,0,0
1,73,7,28,12,50,3,10486,0,350
1,17,7,31,18,45,6,10487,0,0
1,49,7,9,12,5,5,10488,99999,1230
1,73,3,24,16,50,3,10489,0,350
1,89,5,22,2,35,6,10490,0,1730
1,109,6,8,21,34,2,10491,780,3040
1,73,6,13,19,21,7,10492,0,350
1,109,6,15,3,10,2,10493,0,3040
1,73,6,17,18,22,4,10494,0,1717
1,69,6,19,17,49,6,10495,99999,930
1,81,7,30,20,45,5,10496,0,0
1,71,7,13,13,0,2,10497,0,2720
1,43,7,31,2,0,6,10498,549,0
1,73,7,29,13,44,4,10499,99999,2960
1,77,7,9,9,16,5,10500,99999,1200
1,115,7,27,0,15,2,10501,1459,0
1,69,7,31,17,5,6,10502,119,0
1,77,7,24,6,4,6,10503,0,1200
1,69,7,16,21,29,5,10504,0,930
1,125,3,9,7,30,2,10505,837,0
1,97,4,4,4,20,7,10506,0,2713
1,111,5,17,13,5,1,10507,0,2640
1,93,6,23,11,15,3,10508,0,1540
1,121,8,1,22,25,7,10509,0,0
1,35,8,2,21,28,1,10510,0,1080
1,33,8,1,19,45,7,10511,0,0
1,91,8,3,14,35,2,10512,0,0
1,89,8,3,7,15,2,10513,0,0
1,15,8,4,17,0,3,10514,2547,0
1,111,8,4,22,25,3,10515,0,0
1,35,8,6,10,10,5,10516,950,0
1,49,8,1,14,9,7,10517,0,0
1,91,8,9,17,10,1,10518,0,0
1,87,8,7,18,8,6,10519,406,0
1,19,8,10,12,30,2,10520,99999,630
1,97,8,3,17,40,2,10521,0,0
1,85,8,9,12,55,1,10522,1435,0
1,29,8,10,9,14,2,10523,41,0
1,43,8,6,1,45,5,10524,38,0
1,29,8,8,5,10,7,10525,2148,0
1,13,8,9,19,30,1,10526,165,0
1,17,8,11,16,45,3,10527,1769,0
1,85,8,15,11,35,7,10528,1419,0
1,1,8,16,1,5,1,10529,1372,0
1,63,8,11,13,10,3,10530,409,0
1,29,8,14,7,55,6,10531,0,0
1,83,8,9,9,45,1,10532,698,0
1,105,8,8,20,35,7,10533,16,0
1,57,8,16,18,30,1,10534,2326,0
1,39,8,17,15,30,2,10535,0,0
1,89,8,17,19,10,2,10536,0,0
1,99,8,18,18,50,3,10537,0,0
1,89,8,19,2,44,4,10538,0,1730
1,21,8,24,7,55,2,10539,2017,0
1,73,8,14,24,0,6,10540,1120,330
1,117,8,9,15,55,1,10541,1636,0
1,125,8,12,19,43,4,10542,99999,3050
1,77,8,22,0,15,7,10543,0,0
1,73,8,23,12,38,1,10544,1380,0
1,97,8,19,10,55,4,10545,150,0
1,91,8,21,11,50,6,10546,517,0
1,69,8,7,9,55,6,10547,0,0
1,53,8,15,0,30,7,10548,0,0
1,11,8,22,1,30,7,10549,0,0
1,85,8,26,11,20,4,10550,1473,0
1,15,8,20,1,45,5,10551,0,0
1,49,8,24,22,8,2,10552,0,0
1,73,8,25,20,13,3,10553,0,0
1,3,8,3,13,10,2,10554,0,0
1,97,8,9,20,10,1,10555,231,0
1,97,8,19,8,20,4,10556,51,2100
1,35,8,21,8,0,6,10557,0,0
1,73,8,28,23,40,6,10558,0,0
1,81,8,7,19,17,6,10559,99999,2340
1,127,8,27,23,25,5,10560,696,0
1,21,8,22,1,43,7,10561,0,700
1,101,8,22,16,45,7,10562,99999,2130
1,97,8,20,14,0,5,10563,0,0
1,33,8,27,0,15,5,10564,60,0
1,103,8,3,15,7,2,10565,716,0
1,71,8,15,8,20,7,10566,99999,2720
1,115,8,22,3,40,7,10567,1552,0
1,101,8,5,17,50,4,10568,0,2130
1,101,8,29,3,11,7,10569,1712,2130
1,97,8,14,22,25,6,10570,0,0
1,73,8,18,9,25,3,10571,99999,1850
1,103,8,4,11,55,3,10572,99999,890
1,3,7,15,8,47,4,10573,99999,2355
1,55,8,2,4,0,1,10574,99999,2562
1,125,8,27,13,25,5,10575,850,0
1,121,8,12,19,34,4,10576,769,1870
1,125,8,18,18,30,3,10577,0,0
1,81,8,23,15,40,1,10578,0,2340
1,51,9,8,21,5,3,10579,0,0
1,39,9,5,4,30,7,10580,0,0
1,103,9,5,9,21,7,10581,0,890
1,83,9,6,14,20,1,10582,0,0
1,3,9,7,11,45,2,10583,337,0
1,67,9,7,23,0,2,10584,0,0
1,97,9,8,19,30,3,10585,0,2100
1,123,9,8,18,55,3,10586,0,0
1,47,9,13,13,10,1,10587,0,2760
1,125,9,4,11,15,6,10588,720,3050
1,95,9,8,11,51,3,10589,0,400
1,29,9,13,18,5,1,10590,68,0
1,115,9,3,23,25,5,10591,1608,0
1,47,9,5,9,40,7,10592,1230,0
1,47,9,6,8,30,1,10593,970,0
1,47,9,11,0,15,6,10594,1245,0
1,117,9,13,0,45,1,10595,23,1630
1,77,9,15,14,0,3,10596,508,0
1,47,9,18,20,50,6,10597,0,0
1,73,9,21,15,50,2,10598,0,330
1,97,9,9,17,23,4,10599,0,0
1,21,9,19,19,50,7,10600,0,0
1,73,9,6,4,50,1,10601,1317,350
1,55,9,19,12,50,7,10602,1009,0
1,71,9,13,19,36,1,10603,99999,1690
1,133,9,18,22,40,6,10604,322,0
1,33,9,22,17,20,3,10605,263,0
1,83,9,23,7,5,4,10606,0,0
1,7,9,8,14,0,3,10607,1009,0
1,125,9,26,5,0,7,10608,0,0
1,89,9,3,15,33,5,10609,0,1730
1,89,9,16,9,30,4,10610,99999,1730
1,103,9,19,15,35,7,10611,0,0
1,17,9,24,16,44,5,10612,368,0
1,51,9,28,16,40,2,10613,1693,0
1,51,9,29,23,40,3,10614,0,2063
1,103,9,29,9,0,3,10615,0,3030
1,43,9,16,9,15,4,10616,0,0
1,87,9,18,15,18,6,10617,0,3070
1,9,9,26,6,20,7,10618,258,0
1,125,9,29,14,40,3,10619,0,3050
1,81,9,20,14,28,1,10620,99999,200
1,101,9,4,9,45,6,10621,0,2130
1,95,9,29,21,30,3,10622,2725,0
1,97,9,12,5,35,7,10623,85,0
1,97,9,23,12,5,4,10624,0,0
1,3,9,29,23,35,3,10625,0,1210
1,59,9,22,8,23,3,10626,3022,2690
1,127,9,9,18,35,4,10627,0,1780
1,117,9,20,5,54,1,10628,2538,1716
1,97,9,20,21,25,1,10629,212,0
1,57,9,27,13,35,1,10630,2400,0
1,69,9,9,23,30,4,10631,0,0
1,73,9,1,4,0,3,10632,0,0
1,71,9,27,15,39,1,10633,0,2720
1,117,2,17,11,39,3,10634,99999,530
1,89,4,24,22,47,6,10635,99999,1970
1,73,7,14,7,7,3,10636,0,1717
1,123,7,9,13,41,5,10637,99999,60
