STATE,ST_CASE,DAY,MONTH,YEAR,DAY_WEEK,HOUR,MINUTE,LATITUDE,LONGITUD
1,10553,6,10,2012,7,15,9,34,-86
1,10554,7,10,2012,1,0,18,33,-86
1,10555,21,9,2012,6,16,50,34,-87
1,10556,15,9,2012,7,22,32,33,-87
1,10557,18,9,2012,3,23,3,34,-87
1,10558,22,9,2012,7,21,9,34,-87
1,10559,24,9,2012,2,1,30,34,-87
1,10560,2,9,2012,1,2,30,32,-88
1,10561,13,9,2012,5,5,25,35,-86
1,10562,16,9,2012,1,22,25,31,-85
1,10563,18,9,2012,3,13,35,35,-86
1,10564,19,9,2012,4,20,40,34,-87
1,10565,20,9,2012,5,21,30,34,-87
1,10566,22,9,2012,7,3,50,35,-87
1,10567,22,9,2012,7,15,55,34,-86
1,10568,24,9,2012,2,3,0,33,-85
1,10569,24,9,2012,2,4,30,34,-87
1,10570,25,9,2012,3,17,40,34,-87
1,10571,26,9,2012,4,18,35,34,-86
1,10572,26,9,2012,4,4,0,33,-87
1,10573,28,9,2012,6,0,4,32,-86
1,10574,28,9,2012,6,3,0,32,-86
1,10575,28,9,2012,6,11,30,34,-87
1,10576,29,9,2012,7,23,0,32,-87
1,10577,29,9,2012,7,10,20,31,-88
1,10578,30,9,2012,1,17,28,33,-87
1,10579,1,10,2012,2,12,50,33,-86
1,10580,28,9,2012,6,14,10,35,-86
1,10581,1,10,2012,2,20,8,34,-87
1,10582,10,10,2012,4,20,0,34,-87
1,10583,30,8,2012,5,20,26,33,-87
1,10584,8,10,2012,2,21,59,34,-86
1,10585,10,10,2012,4,13,47,30,-88
1,10586,14,10,2012,1,15,30,34,-87
1,10587,21,10,2012,1,12,8,34,-86
1,10588,22,10,2012,2,15,29,33,-88
1,10589,25,10,2012,5,17,0,31,-88
1,10590,28,10,2012,1,16,15,35,-87
1,10591,20,9,2012,5,6,3,35,-86
1,10592,21,9,2012,6,18,59,35,-87
1,10593,26,9,2012,4,20,10,34,-86
1,10594,30,9,2012,1,1,0,33,-88
1,10595,1,10,2012,2,21,0,34,-86
1,10596,4,10,2012,5,13,0,34,-86
1,10597,5,10,2012,6,0,1,31,-86
1,10598,5,10,2012,6,11,53,32,-86
1,10599,6,10,2012,7,23,45,33,-88
