STATE,COUNTY,MONTH,DAY,HOUR,MINUTE,ST_CASE,CITY
1,73,9,5,2,20,10593,0
1,29,9,1,7,0,10594,0
1,121,9,3,17,15,10595,0
1,101,9,5,3,0,10596,0
1,97,9,2,4,33,10597,0
1,89,9,3,0,30,10598,1730
1,103,9,2,15,25,10599,0
1,77,9,9,21,0,10600,0
1,39,9,7,19,10,10601,0
1,125,9,4,4,25,10602,3050
1,29,9,7,14,25,10603,0
1,73,9,8,12,55,10604,0
1,89,9,8,18,55,10605,0
1,127,9,10,5,50,10606,0
1,15,9,11,20,45,10607,0
1,129,9,5,14,45,10608,0
1,69,9,8,18,10,10609,0
1,95,9,10,10,12,10610,0
1,51,9,13,16,10,10611,0
1,113,9,9,13,10,10612,0
1,89,9,13,7,28,10613,1730
1,101,9,15,8,50,10614,0
1,115,9,10,14,20,10615,0
1,53,9,11,6,15,10616,0
1,127,9,14,23,0,10617,0
1,127,9,18,0,10,10618,0
1,97,9,8,20,0,10619,0
1,71,9,12,2,30,10620,0
1,89,9,15,23,55,10621,0
1,133,9,15,6,5,10622,0
1,49,9,13,9,42,10623,810
1,53,9,10,20,35,10624,0
1,121,9,16,17,5,10625,0
1,21,9,21,8,45,10626,0
1,33,9,4,1,59,10627,2190
1,101,9,23,22,44,10628,0
1,109,9,19,9,40,10629,0
1,127,9,23,12,50,10630,0
1,113,9,24,21,6,10631,0
1,33,9,19,10,45,10632,0
1,1,9,29,6,15,10633,0
1,79,9,16,22,5,10634,0
1,83,9,17,22,50,10635,0
1,55,9,26,3,0,10636,0
1,49,9,27,7,15,10637,0
1,55,9,27,8,8,10638,0
1,89,9,29,7,35,10639,1730
1,63,9,8,5,40,10640,0
1,119,9,15,3,30,10641,0
1,119,9,29,9,50,10642,0
1,119,9,19,3,0,10643,0
1,119,9,20,3,20,10644,0
1,53,9,25,0,36,10645,0
1,73,9,1,14,24,10646,1716
1,103,9,6,10,40,10647,0
1,97,9,19,14,15,10648,0
1,97,9,23,0,45,10649,0
1,103,9,25,12,3,10650,0
1,97,9,26,13,45,10651,0
1,3,9,27,8,40,10652,0
1,133,9,28,7,40,10653,0
1,75,9,29,5,0,10654,0
1,109,9,29,16,30,10655,0
