STATE,ST_CASE,CITY,DAY,MONTH,YEAR,DAY_WEEK,HOUR,MINUTE,LATITUDE,LONGITUD
1,10347,0,15,6,2013,7,17,0,31,-88
1,10348,890,18,6,2013,3,10,46,35,-87
1,10349,0,18,6,2013,3,21,15,35,-87
1,10350,1050,20,6,2013,5,5,10,32,-85
1,10351,0,21,6,2013,6,9,55,32,-86
1,10352,0,22,6,2013,7,3,0,33,-88
1,10353,0,23,6,2013,1,2,45,34,-88
1,10354,0,22,6,2013,7,23,40,31,-88
1,10355,1850,24,6,2013,2,15,22,34,-87
1,10356,0,25,6,2013,3,11,35,35,-87
1,10357,0,25,6,2013,3,14,25,31,-85
1,10358,0,27,6,2013,5,15,40,33,-88
1,10359,0,30,6,2013,1,7,55,33,-86
1,10360,0,1,7,2013,2,2,30,34,-87
1,10361,0,2,7,2013,3,15,50,34,-86
1,10362,0,3,7,2013,4,14,30,35,-86
1,10363,0,4,7,2013,5,15,43,33,-85
1,10364,2340,7,7,2013,1,11,21,33,-85
1,10365,2713,28,6,2013,6,4,52,31,-88
1,10366,2545,26,6,2013,4,4,32,35,-87
1,10367,0,30,6,2013,1,1,41,34,-87
1,10368,0,30,6,2013,1,13,30,34,-88
1,10369,0,8,7,2013,2,19,25,34,-87
1,10370,2940,11,7,2013,5,6,15,33,-86
1,10371,0,1,7,2013,2,12,18,32,-88
1,10372,0,3,7,2013,4,4,0,32,-87
1,10373,1493,6,7,2013,7,21,11,30,-88
1,10374,0,7,7,2013,1,2,0,32,-86
1,10375,0,8,7,2013,2,21,45,34,-88
1,10376,0,10,7,2013,4,0,15,34,-88
1,10377,0,10,7,2013,4,22,0,30,-88
1,10378,2100,11,7,2013,5,9,56,31,-88
1,10379,0,6,7,2013,7,21,5,33,-85
1,10380,865,25,6,2013,3,16,58,30,-88
1,10381,3070,21,7,2013,1,22,47,32,-86
1,10382,0,7,6,2013,6,8,5,30,-88
1,10383,0,7,7,2013,1,21,35,33,-87
1,10384,0,8,7,2013,2,18,20,31,-87
1,10385,2130,9,7,2013,3,2,0,32,-86
1,10386,2910,9,7,2013,3,18,15,33,-86
1,10387,0,11,7,2013,5,22,0,30,-88
1,10388,0,14,7,2013,1,14,30,34,-86
1,10389,0,14,7,2013,1,16,35,34,-87
1,10390,0,16,7,2013,3,6,30,31,-85
1,10391,0,16,7,2013,3,8,45,33,-85
1,10392,0,17,7,2013,4,9,5,33,-86
1,10393,0,18,7,2013,5,20,10,34,-87
1,10394,0,18,7,2013,5,23,20,32,-86
1,10395,330,19,7,2013,6,12,19,33,-87
1,10396,0,20,7,2013,7,8,25,35,-87
1,10397,0,20,7,2013,7,20,35,35,-87
1,10398,0,21,7,2013,1,2,30,31,-86
1,10399,2812,21,7,2013,1,22,4,33,-85
1,10400,0,22,7,2013,2,6,30,31,-88
1,10401,0,22,7,2013,2,21,0,35,-87
1,10402,0,24,7,2013,4,21,10,33,-86
1,10403,2380,25,7,2013,5,17,58,31,-86
1,10404,330,30,7,2013,3,10,35,33,-87
1,10405,1790,5,8,2013,2,22,50,33,-87
1,10406,0,26,7,2013,6,12,20,33,-86
1,10407,0,26,7,2013,6,13,20,32,-86
1,10408,0,10,7,2013,4,8,0,34,-87
1,10409,2490,13,8,2013,3,15,20,32,-88
1,10410,0,14,7,2013,1,15,40,33,-87
1,10411,0,22,7,2013,2,17,12,31,-87
1,10412,0,23,7,2013,3,23,50,35,-86
1,10413,0,24,7,2013,4,15,35,34,-87
1,10414,0,26,7,2013,6,1,10,32,-86
1,10415,0,26,7,2013,6,21,45,33,-86
1,10416,0,27,7,2013,7,2,50,30,-88
1,10417,1870,28,7,2013,1,6,55,34,-86
1,10418,3050,30,7,2013,3,23,23,33,-88
1,10419,0,17,7,2013,4,23,15,34,-87
1,10420,0,1,8,2013,5,10,45,34,-87
1,10421,0,2,8,2013,6,18,7,31,-87
1,10422,0,2,8,2013,6,18,15,33,-86
1,10423,0,3,8,2013,7,22,0,35,-87
1,10424,0,4,8,2013,1,23,20,34,-86
1,10425,0,5,8,2013,2,5,30,33,-88
1,10426,0,5,8,2013,2,11,40,33,-86
1,10427,350,1,6,2013,7,5,15,34,-87
1,10428,350,29,6,2013,7,22,35,33,-87
1,10429,2260,5,8,2013,2,10,20,33,-88
1,10430,0,14,8,2013,4,16,25,35,-88
1,10431,0,29,7,2013,2,10,18,33,-85
1,10432,0,18,8,2013,1,1,40,35,-87
1,10433,0,21,8,2013,4,12,57,33,-88
1,10434,0,22,8,2013,5,7,30,33,-87
1,10435,0,24,8,2013,7,3,30,33,-87
1,10436,2063,27,8,2013,3,17,4,33,-86
1,10437,0,22,8,2013,5,7,48,33,-86
1,10438,0,28,8,2013,4,6,3,32,-85
1,10439,860,1,2,2013,6,7,11,31,-88
